Date,Adj Close (TSLA),Adj Close (SEDG),Close (TSLA),Close (SEDG) ,High (TSLA),High (SEDG),Low (TSLA),Low (SEDG),Open (TSLA),Open (SEDG),Volume (TSLA),Volume (SEDG)
12/3/2019,67.23999786,88.04000092,67.23999786,88.04000092,67.58200073,88.25,66.43800354,79.5,66.52400208,80.81999969,32868500,1555200
12/4/2019,66.60600281,86.54000092,66.60600281,86.54000092,67.5719986,89.26699829,66.56999969,85.12000275,67.55000305,88.5,27665000,1681500
12/5/2019,66.0739975,82.88999939,66.0739975,82.88999939,66.88400269,87.93000031,65.44999695,82.61000061,66.56600189,86.51999664,18623000,2053900
12/6/2019,67.1780014,83.93000031,67.1780014,83.93000031,67.77200317,85.6760025,66.95400238,82.77999878,67,83.43000031,38062000,1290800
12/9/2019,67.90599823,82.83999634,67.90599823,82.83999634,68.88999939,85.05999756,67.01599884,82.05000305,67.31800079,83.56999969,45115500,935600
12/10/2019,69.76799774,81.48000336,69.76799774,81.48000336,70.14600372,82.98999786,67.86199951,79.55000305,67.99199677,82.69999695,44141500,763600
12/11/2019,70.54000092,83.51000214,70.54000092,83.51000214,71.43800354,84.15000153,70.21800232,81.52999878,70.37599945,81.55999756,34489000,789600
12/12/2019,71.93599701,87.30000305,71.93599701,87.30000305,72.54799652,87.59999847,70.64600372,82.76999664,70.98400116,83.52999878,38819500,1236800
12/13/2019,71.6780014,90.16999817,71.6780014,90.16999817,73.04199982,90.98999786,70.9280014,86.16000366,72.20999908,86.81999969,32854500,1364900
12/16/2019,76.30000305,92.79000092,76.30000305,92.79000092,76.72200012,94.05699921,72.5,89.55999756,72.51000214,90.16000366,90871000,6128000
12/17/2019,75.79799652,91.44000244,75.79799652,91.44000244,77.09999847,93.94999695,75.18000031,90.86000061,75.79799652,92.16000366,42484000,1350300
12/18/2019,78.62999725,91.86000061,78.62999725,91.86000061,79.04399872,93.04399872,76.11599731,90.56999969,76.12599945,91.68000031,70605000,1057900
12/19/2019,80.80799866,93.77999878,80.80799866,93.77999878,81.37000275,94.54000092,79.30000305,91.01000214,79.46399689,91.58999634,90535500,1464400
12/20/2019,81.11799622,95,81.11799622,95,82.59999847,96.63999939,80.03800201,93.55999756,82.05799866,94,73763500,1399100
12/23/2019,83.84400177,94.18000031,83.84400177,94.18000031,84.40200043,95.69999695,82,92.90000153,82.35600281,95.69999695,66598000,845000
12/24/2019,85.05000305,95.19999695,85.05000305,95.19999695,85.09400177,95.5,82.53800201,93.30999756,83.67199707,94.88999939,40273500,187300
12/26/2019,86.18800354,95.55999756,86.18800354,95.55999756,86.69599915,96.23999786,85.26999664,94.51000214,85.58200073,95.55000305,53169500,551700
12/27/2019,86.0759964,94.26000214,86.0759964,94.26000214,87.06199646,95.94999695,85.22200012,93.91000366,87,95.56999969,49728500,346000
12/30/2019,82.94000244,94,82.94000244,94,85.80000305,94.98999786,81.85199738,92.01999664,85.75800323,94.66000366,62932000,539300
12/31/2019,83.66600037,95.08999634,83.66600037,95.08999634,84.25800323,96,80.41600037,93.77999878,81,93.90000153,51428500,554700
1/2/2020,86.05200195,101.8099976,86.05200195,101.8099976,86.13999939,101.8799973,84.34200287,96.75,84.90000153,97,47660500,2154800
1/3/2020,88.60199738,102.3799973,88.60199738,102.3799973,90.80000305,103.5999985,87.38400269,100.0199966,88.09999847,100.8399963,88892500,1016500
1/6/2020,90.30799866,99.62999725,90.30799866,99.62999725,90.31199646,101.8799973,88,98.63500214,88.09400177,101.3700027,50665000,970800
1/7/2020,93.81199646,101.7900009,93.81199646,101.7900009,94.3259964,102.0299988,90.67199707,97.69999695,92.27999878,100,89410500,834900
